Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Issaquah,Mukilteo,Clinton,06:30,06:32,06:44,08/19/2026,
Issaquah,Clinton,Mukilteo,07:00,07:01,07:16,08/19/2026,
Issaquah,Mukilteo,Clinton,07:30,07:31,07:45,08/19/2026,
Issaquah,Clinton,Mukilteo,08:00,08:02,08:16,08/19/2026,
Issaquah,Mukilteo,Clinton,08:30,08:32,08:45,08/19/2026,
Issaquah,Clinton,Mukilteo,09:00,09:05,09:19,08/19/2026,
Issaquah,Mukilteo,Clinton,09:30,09:40,09:53,08/19/2026,
Issaquah,Clinton,Mukilteo,10:00,10:18,10:32,08/19/2026,
Issaquah,Mukilteo,Clinton,10:30,10:49,11:03,08/19/2026,
Issaquah,Clinton,Mukilteo,11:00,11:20,11:34,08/19/2026,
Issaquah,Mukilteo,Clinton,11:30,11:49,12:02,08/19/2026,
Issaquah,Clinton,Mukilteo,12:00,12:21,12:35,08/19/2026,
Issaquah,Mukilteo,Clinton,12:30,12:51,13:05,08/19/2026,
Issaquah,Clinton,Mukilteo,13:30,13:26,13:40,08/19/2026,
Issaquah,Clinton,Mukilteo,14:35,14:31,14:44,08/19/2026,
Issaquah,Mukilteo,Clinton,15:05,15:03,15:17,08/19/2026,
Issaquah,Clinton,Mukilteo,15:35,15:38,15:51,08/19/2026,
Issaquah,Mukilteo,Clinton,16:05,16:09,16:23,08/19/2026,
Issaquah,Clinton,Mukilteo,16:35,16:43,16:57,08/19/2026,
Issaquah,Mukilteo,Clinton,17:10,17:13,17:26,08/19/2026,
Issaquah,Clinton,Mukilteo,17:35,17:44,17:58,08/19/2026,
Issaquah,Mukilteo,Clinton,18:10,18:17,18:30,08/19/2026,
Issaquah,Clinton,Mukilteo,18:35,18:49,19:04,08/19/2026,
Issaquah,Mukilteo,Clinton,19:05,19:19,19:33,08/19/2026,
Issaquah,Clinton,Mukilteo,19:35,19:45,19:58,08/19/2026,
Issaquah,Mukilteo,Clinton,20:05,20:09,20:25,08/19/2026,
Issaquah,Clinton,Mukilteo,20:30,20:37,20:52,08/19/2026,
Issaquah,Mukilteo,Clinton,21:00,21:13,21:31,08/19/2026,
Issaquah,Clinton,Mukilteo,05:05,05:08,05:25,08/20/2026,
Issaquah,Mukilteo,Clinton,05:35,05:36,05:50,08/20/2026,
Issaquah,Clinton,Mukilteo,06:00,06:03,06:17,08/20/2026,
Issaquah,Mukilteo,Clinton,06:30,06:30,06:43,08/20/2026,
Issaquah,Clinton,Mukilteo,07:00,07:01,07:16,08/20/2026,
Issaquah,Mukilteo,Clinton,07:30,07:30,07:43,08/20/2026,
Issaquah,Clinton,Mukilteo,08:00,08:01,08:15,08/20/2026,
Issaquah,Mukilteo,Clinton,08:30,08:31,08:44,08/20/2026,
Issaquah,Clinton,Mukilteo,09:00,09:01,09:15,08/20/2026,
Issaquah,Mukilteo,Clinton,09:30,09:31,09:48,08/20/2026,
Issaquah,Clinton,Mukilteo,10:00,10:06,10:21,08/20/2026,
Issaquah,Mukilteo,Clinton,10:30,10:37,10:53,08/20/2026,
Issaquah,Clinton,Mukilteo,11:00,11:12,11:27,08/20/2026,
Issaquah,Mukilteo,Clinton,11:30,11:43,11:58,08/20/2026,
Issaquah,Clinton,Mukilteo,12:00,12:16,12:30,08/20/2026,
Issaquah,Mukilteo,Clinton,12:30,12:48,13:01,08/20/2026,
Issaquah,Mukilteo,Clinton,13:30,13:56,14:10,08/20/2026,
Issaquah,Clinton,Mukilteo,13:30,13:25,13:39,08/20/2026,
