Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Kennewick,Port Townsend,Keystone,06:30,06:30,06:58,01/08/2026,
Kennewick,Keystone,Port Townsend,07:15,07:15,07:44,01/08/2026,
Kennewick,Port Townsend,Keystone,08:00,08:02,08:29,01/08/2026,
Kennewick,Keystone,Port Townsend,08:45,08:45,09:12,01/08/2026,
Kennewick,Port Townsend,Keystone,09:30,09:30,09:57,01/08/2026,
Kennewick,Keystone,Port Townsend,10:15,10:15,10:41,01/08/2026,
Kennewick,Port Townsend,Keystone,11:00,11:00,11:27,01/08/2026,
Kennewick,Keystone,Port Townsend,11:45,11:45,12:12,01/08/2026,
Kennewick,Port Townsend,Keystone,12:30,12:30,12:57,01/08/2026,
Kennewick,Keystone,Port Townsend,13:15,13:15,13:41,01/08/2026,
Kennewick,Port Townsend,Keystone,14:00,14:01,14:28,01/08/2026,
Kennewick,Keystone,Port Townsend,14:45,14:48,15:16,01/08/2026,
