Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Kitsap,Vashon,Fauntleroy,08:15,08:17,08:31,06/20/2026,
Kitsap,Fauntleroy,Vashon,08:50,08:53,09:07,06/20/2026,
Kitsap,Vashon,Fauntleroy,09:20,09:22,09:36,06/20/2026,
Kitsap,Fauntleroy,Vashon,09:50,09:52,10:06,06/20/2026,
Kitsap,Vashon,Fauntleroy,10:20,10:21,10:35,06/20/2026,
Kitsap,Fauntleroy,Vashon,10:55,10:57,11:11,06/20/2026,
Kitsap,Vashon,Southworth,11:25,11:26,11:38,06/20/2026,
Kitsap,Southworth,Vashon,11:45,11:50,12:01,06/20/2026,
Kitsap,Vashon,Fauntleroy,12:10,12:11,12:28,06/20/2026,
Kitsap,Fauntleroy,Vashon,12:45,12:47,13:01,06/20/2026,
Kitsap,Vashon,Fauntleroy,13:10,13:13,13:27,06/20/2026,
Kitsap,Fauntleroy,Vashon,13:40,13:41,13:56,06/20/2026,
Kitsap,Vashon,Southworth,14:10,14:11,14:22,06/20/2026,
Kitsap,Southworth,Vashon,14:35,14:37,14:49,06/20/2026,
Kitsap,Vashon,Fauntleroy,15:00,15:01,15:15,06/20/2026,
Kitsap,Fauntleroy,Vashon,15:30,15:32,15:47,06/20/2026,
Kitsap,Vashon,Fauntleroy,16:00,16:02,16:18,06/20/2026,
Kitsap,Fauntleroy,Vashon,16:30,16:32,16:46,06/20/2026,
Kitsap,Vashon,Fauntleroy,16:55,16:58,17:11,06/20/2026,
Kitsap,Fauntleroy,Vashon,17:25,17:28,17:44,06/20/2026,
Kitsap,Vashon,Fauntleroy,17:55,17:57,18:15,06/20/2026,
Kitsap,Fauntleroy,Vashon,18:30,18:31,18:46,06/20/2026,
Kitsap,Vashon,Fauntleroy,19:00,19:01,19:22,06/20/2026,
Kitsap,Fauntleroy,Vashon,19:30,19:32,19:46,06/20/2026,
Kitsap,Vashon,Southworth,19:55,19:56,20:06,06/20/2026,
Kitsap,Southworth,Fauntleroy,20:20,20:22,20:40,06/20/2026,
Kitsap,Fauntleroy,Vashon,20:55,20:58,21:12,06/20/2026,
Kitsap,Vashon,Southworth,21:25,21:26,21:36,06/20/2026,
Kitsap,Southworth,Vashon,21:50,21:51,22:04,06/20/2026,
Kitsap,Vashon,Fauntleroy,22:15,22:16,22:33,06/20/2026,
Kitsap,Fauntleroy,Vashon,22:55,22:57,23:11,06/20/2026,
Kitsap,Vashon,Fauntleroy,08:15,08:17,08:32,06/21/2026,
Kitsap,Fauntleroy,Vashon,08:50,08:53,09:07,06/21/2026,
Kitsap,Vashon,Fauntleroy,09:20,09:20,09:35,06/21/2026,
Kitsap,Fauntleroy,Vashon,09:50,09:52,10:05,06/21/2026,
Kitsap,Vashon,Fauntleroy,10:20,10:21,10:35,06/21/2026,
