Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Kitsap,Vashon,,06:30,06:31,00:00,09/13/2026,
Kitsap,Southworth,Vashon,06:55,06:55,07:07,09/13/2026,
Kitsap,Vashon,Fauntleroy,07:15,07:15,07:30,09/13/2026,
Kitsap,Fauntleroy,Vashon,07:50,07:52,08:07,09/13/2026,
Kitsap,Vashon,Southworth,08:15,08:15,08:26,09/13/2026,
Kitsap,Southworth,Vashon,08:35,08:37,08:47,09/13/2026,
Kitsap,Vashon,Fauntleroy,08:55,08:56,09:09,09/13/2026,
Kitsap,Fauntleroy,,09:25,09:26,00:00,09/13/2026,
Kitsap,Vashon,Fauntleroy,09:50,09:51,10:05,09/13/2026,
Kitsap,Fauntleroy,Vashon,10:20,10:21,10:34,09/13/2026,
Kitsap,Vashon,,10:45,10:46,00:00,09/13/2026,
Kitsap,Fauntleroy,Vashon,11:15,11:16,11:29,09/13/2026,
Kitsap,Vashon,Fauntleroy,11:45,11:46,12:01,09/13/2026,
Kitsap,Fauntleroy,Vashon,12:15,12:17,12:31,09/13/2026,
Kitsap,Vashon,Southworth,12:45,12:45,12:56,09/13/2026,
Kitsap,Southworth,,13:10,13:13,00:00,09/13/2026,
Kitsap,Vashon,Fauntleroy,13:30,13:33,13:47,09/13/2026,
Kitsap,Fauntleroy,Vashon,14:00,14:04,14:19,09/13/2026,
Kitsap,Vashon,Southworth,14:30,14:31,14:41,09/13/2026,
Kitsap,Southworth,Vashon,15:00,15:02,15:14,09/13/2026,
Kitsap,Vashon,Fauntleroy,15:25,15:38,15:51,09/13/2026,
Kitsap,Fauntleroy,Vashon,15:55,16:08,16:22,09/13/2026,
Kitsap,Vashon,Southworth,16:20,16:31,16:42,09/13/2026,
Kitsap,Southworth,Vashon,16:50,16:58,17:10,09/13/2026,
Kitsap,Vashon,Fauntleroy,17:20,17:23,17:36,09/13/2026,
Kitsap,Fauntleroy,Vashon,17:55,17:55,18:10,09/13/2026,
Kitsap,Vashon,Southworth,18:20,18:20,18:31,09/13/2026,
Kitsap,Southworth,Vashon,18:45,18:45,18:59,09/13/2026,
Kitsap,Vashon,Fauntleroy,19:15,19:15,19:30,09/13/2026,
Kitsap,Fauntleroy,Vashon,19:40,19:41,19:55,09/13/2026,
Kitsap,Vashon,Fauntleroy,20:10,20:11,20:26,09/13/2026,
Kitsap,Fauntleroy,Vashon,20:45,20:46,21:00,09/13/2026,
Kitsap,Vashon,Southworth,21:10,21:13,21:24,09/13/2026,
Kitsap,Southworth,Vashon,21:35,21:36,21:48,09/13/2026,
