Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Kittitas,Southworth,,04:10,04:11,00:00,04/21/2026,
Kittitas,Vashon,,04:30,04:33,00:00,04/21/2026,
Kittitas,Fauntleroy,,05:05,05:06,00:00,04/21/2026,
Kittitas,Vashon,,05:25,05:26,00:00,04/21/2026,
Kittitas,Southworth,,05:50,05:51,00:00,04/21/2026,
Kittitas,Vashon,Fauntleroy,06:15,06:17,06:30,04/21/2026,
Kittitas,Fauntleroy,Vashon,06:45,06:46,07:02,04/21/2026,
Kittitas,Vashon,Fauntleroy,07:15,07:15,07:40,04/21/2026,
Kittitas,Vashon,Southworth,08:05,08:13,08:25,04/21/2026,
Kittitas,Southworth,Vashon,08:30,08:39,08:51,04/21/2026,
Kittitas,Vashon,Fauntleroy,09:55,10:12,10:25,04/21/2026,
Kittitas,Fauntleroy,,11:30,11:37,00:00,04/21/2026,
Kittitas,Vashon,,11:55,12:02,00:00,04/21/2026,
Kittitas,Southworth,,12:15,12:23,00:00,04/21/2026,
Kittitas,Vashon,,12:40,12:46,00:00,04/21/2026,
Kittitas,Fauntleroy,,13:15,13:17,00:00,04/21/2026,
Kittitas,Vashon,,13:40,13:44,00:00,04/21/2026,
Kittitas,Fauntleroy,Vashon,14:10,14:16,14:28,04/21/2026,
Kittitas,Vashon,Southworth,14:35,14:39,14:49,04/21/2026,
Kittitas,Southworth,Vashon,15:00,15:00,15:10,04/21/2026,
Kittitas,Vashon,Fauntleroy,15:20,15:21,15:37,04/21/2026,
Kittitas,Fauntleroy,Southworth,15:50,15:55,16:12,04/21/2026,
Kittitas,Southworth,Vashon,16:25,16:25,16:35,04/21/2026,
Kittitas,Vashon,Fauntleroy,16:45,16:45,17:01,04/21/2026,
Kittitas,Fauntleroy,Vashon,17:15,17:19,17:32,04/21/2026,
Kittitas,Vashon,Southworth,17:40,17:42,17:52,04/21/2026,
Kittitas,Southworth,Fauntleroy,18:00,18:02,18:23,04/21/2026,
Kittitas,Fauntleroy,,18:35,18:40,00:00,04/21/2026,
Kittitas,Vashon,,19:00,19:03,00:00,04/21/2026,
Kittitas,Southworth,,19:20,19:20,00:00,04/21/2026,
Kittitas,Fauntleroy,,19:55,19:55,00:00,04/21/2026,
Kittitas,Vashon,,20:15,20:16,00:00,04/21/2026,
Kittitas,Southworth,,20:35,20:37,00:00,04/21/2026,
Kittitas,Fauntleroy,,21:15,21:16,00:00,04/21/2026,
Kittitas,Southworth,,04:10,04:10,00:00,04/22/2026,
Kittitas,Vashon,,04:30,04:31,00:00,04/22/2026,
Kittitas,Fauntleroy,,05:05,05:06,00:00,04/22/2026,
Kittitas,Vashon,,05:25,05:26,00:00,04/22/2026,
Kittitas,Southworth,,05:50,05:51,00:00,04/22/2026,
Kittitas,Vashon,Fauntleroy,06:15,06:16,06:30,04/22/2026,
Kittitas,Fauntleroy,Vashon,06:45,06:47,07:02,04/22/2026,
Kittitas,Vashon,Fauntleroy,07:15,07:17,07:36,04/22/2026,
Kittitas,Vashon,Southworth,08:05,08:10,08:21,04/22/2026,
Kittitas,Southworth,Vashon,08:30,08:45,09:05,04/22/2026,
