Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Puyallup,Kingston,Edmonds,05:30,05:38,05:59,03/04/2026,
Puyallup,Edmonds,Kingston,06:15,06:16,06:38,03/04/2026,
Puyallup,Kingston,Edmonds,07:00,07:02,07:33,03/04/2026,
Puyallup,Edmonds,Kingston,07:55,07:56,08:18,03/04/2026,
Puyallup,Kingston,Edmonds,08:40,08:42,09:09,03/04/2026,
Puyallup,Edmonds,Kingston,09:35,09:36,09:59,03/04/2026,
Puyallup,Kingston,Edmonds,10:20,10:22,10:45,03/04/2026,
Puyallup,Edmonds,Kingston,11:05,11:11,11:29,03/04/2026,
Puyallup,Kingston,Edmonds,11:55,11:57,12:18,03/04/2026,
Puyallup,Edmonds,Kingston,12:40,12:41,13:03,03/04/2026,
Puyallup,Kingston,Edmonds,13:30,13:31,13:52,03/04/2026,
Puyallup,Edmonds,Kingston,14:25,14:30,14:52,03/04/2026,
Puyallup,Kingston,Edmonds,15:10,15:16,15:38,03/04/2026,
Puyallup,Edmonds,Kingston,15:55,16:04,16:25,03/04/2026,
Puyallup,Kingston,Edmonds,16:40,16:49,17:11,03/04/2026,
Puyallup,Edmonds,Kingston,17:25,17:35,17:56,03/04/2026,
Puyallup,Kingston,Edmonds,18:10,18:14,18:38,03/04/2026,
Puyallup,Edmonds,Kingston,19:00,19:00,19:21,03/04/2026,
Puyallup,Kingston,Edmonds,19:45,19:46,20:07,03/04/2026,
Puyallup,Edmonds,Kingston,20:30,20:35,20:56,03/04/2026,
