Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Puyallup,Kingston,Edmonds,06:25,06:26,06:49,08/16/2026,
Puyallup,Edmonds,Kingston,07:10,07:12,07:34,08/16/2026,
Puyallup,Kingston,Edmonds,07:55,08:01,08:22,08/16/2026,
Puyallup,Edmonds,Kingston,08:50,08:56,09:18,08/16/2026,
Puyallup,Kingston,Edmonds,09:35,09:42,10:03,08/16/2026,
Puyallup,Edmonds,Kingston,10:20,10:50,11:10,08/16/2026,
Puyallup,Kingston,Edmonds,11:05,11:35,11:56,08/16/2026,
Puyallup,Edmonds,Kingston,11:55,12:27,12:51,08/16/2026,
Puyallup,Kingston,Edmonds,12:45,13:19,13:43,08/16/2026,
Puyallup,Edmonds,Kingston,13:35,14:12,14:32,08/16/2026,
Puyallup,Kingston,Edmonds,14:30,15:03,15:23,08/16/2026,
Puyallup,Edmonds,Kingston,15:55,15:50,16:12,08/16/2026,
Puyallup,Kingston,Edmonds,16:40,16:38,17:02,08/16/2026,
Puyallup,Edmonds,Kingston,17:25,17:28,17:49,08/16/2026,
Puyallup,Kingston,Edmonds,18:10,18:14,18:34,08/16/2026,
Puyallup,Edmonds,Kingston,18:15,18:52,19:13,08/16/2026,
Puyallup,Kingston,Edmonds,19:00,19:35,19:55,08/16/2026,
Puyallup,Edmonds,Kingston,21:05,21:29,21:52,08/16/2026,
Puyallup,Kingston,Edmonds,21:40,22:04,22:28,08/16/2026,
Puyallup,Edmonds,Kingston,22:25,22:35,22:57,08/16/2026,
Puyallup,Kingston,Edmonds,23:10,23:12,23:33,08/16/2026,
Puyallup,Edmonds,Kingston,23:45,23:46,00:07,08/16/2026,
Puyallup,Kingston,Edmonds,04:45,04:45,05:09,08/17/2026,
Puyallup,Edmonds,Kingston,05:35,05:36,05:58,08/17/2026,
Puyallup,Kingston,Edmonds,06:25,06:26,06:48,08/17/2026,
Puyallup,Edmonds,Kingston,07:10,07:11,07:33,08/17/2026,
Puyallup,Kingston,Edmonds,07:55,07:57,08:19,08/17/2026,
Puyallup,Edmonds,Kingston,08:50,08:51,09:12,08/17/2026,
