Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Samish,Anacortes,Lopez,06:15,06:17,07:00,04/25/2026,
Samish,Lopez,Friday Harbor,07:10,07:10,07:42,04/25/2026,
Samish,Friday Harbor,Lopez,08:10,08:12,08:45,04/25/2026,
Samish,Lopez,Anacortes,08:55,08:54,09:39,04/25/2026,
Samish,Anacortes,Lopez,10:05,10:13,10:56,04/25/2026,
Samish,Lopez,Orcas,11:00,11:11,11:29,04/25/2026,
Samish,Orcas,Lopez,11:50,11:53,12:12,04/25/2026,
Samish,Lopez,Anacortes,12:20,12:23,13:10,04/25/2026,
Samish,Anacortes,Friday Harbor,13:35,13:38,14:45,04/25/2026,
Samish,Friday Harbor,Lopez,15:35,15:36,16:09,04/25/2026,
Samish,Lopez,Anacortes,16:20,16:20,17:05,04/25/2026,
Samish,Anacortes,Lopez,17:35,17:35,18:16,04/25/2026,
Samish,Lopez,Friday Harbor,18:30,18:30,19:05,04/25/2026,
Samish,Friday Harbor,Lopez,19:35,19:36,20:10,04/25/2026,
Samish,Lopez,Anacortes,20:20,20:20,21:07,04/25/2026,
