Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Samish,Anacortes,Friday Harbor,04:00,04:00,05:08,08/23/2026,
Samish,Friday Harbor,Lopez,05:35,05:35,06:08,08/23/2026,
Samish,Lopez,Anacortes,06:15,06:17,07:00,08/23/2026,
Samish,Anacortes,Orcas,07:25,07:25,08:19,08/23/2026,
Samish,Orcas,Shaw,08:50,08:50,08:59,08/23/2026,
Samish,Shaw,Anacortes,09:05,09:07,09:59,08/23/2026,
Samish,Anacortes,Shaw,10:30,10:30,11:23,08/23/2026,
Samish,Shaw,Orcas,11:30,11:27,11:36,08/23/2026,
Samish,Orcas,Shaw,12:15,12:15,12:25,08/23/2026,
Samish,Shaw,Anacortes,12:30,12:33,13:27,08/23/2026,
Samish,Anacortes,Friday Harbor,14:00,14:01,15:11,08/23/2026,
Samish,Friday Harbor,Anacortes,15:50,15:58,17:07,08/23/2026,
Samish,Anacortes,Lopez,17:25,17:25,18:07,08/23/2026,
Samish,Lopez,Anacortes,18:35,18:41,19:24,08/23/2026,
Samish,Anacortes,Shaw,19:50,19:50,20:39,08/23/2026,
Samish,Shaw,Orcas,20:50,20:50,21:00,08/23/2026,
Samish,Orcas,Anacortes,21:25,21:31,22:26,08/23/2026,
Samish,Anacortes,Friday Harbor,04:00,04:01,05:09,08/24/2026,
Samish,Friday Harbor,Lopez,05:35,05:35,06:07,08/24/2026,
Samish,Lopez,Anacortes,06:15,06:18,07:06,08/24/2026,
Samish,Anacortes,Orcas,07:25,07:33,08:32,08/24/2026,
Samish,Orcas,Shaw,08:50,09:06,09:15,08/24/2026,
Samish,Shaw,Anacortes,09:05,09:21,10:14,08/24/2026,
Samish,Anacortes,Shaw,10:30,10:41,11:31,08/24/2026,
Samish,Shaw,Orcas,11:30,11:37,11:47,08/24/2026,
