Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Sealth,Mukilteo,Clinton,00:05,00:10,00:24,01/08/2026,
Sealth,Clinton,Mukilteo,00:35,00:35,00:49,01/08/2026,
Sealth,Mukilteo,Clinton,01:05,01:04,01:17,01/08/2026,
Sealth,Clinton,Mukilteo,04:40,04:40,04:53,01/08/2026,
Sealth,Mukilteo,Clinton,05:05,05:05,05:18,01/08/2026,
Sealth,Clinton,Mukilteo,05:30,05:31,05:45,01/08/2026,
Sealth,Mukilteo,Clinton,06:00,06:00,06:15,01/08/2026,
Sealth,Clinton,Mukilteo,06:30,06:31,06:46,01/08/2026,
Sealth,Mukilteo,Clinton,07:00,07:02,07:15,01/08/2026,
Sealth,Clinton,Mukilteo,07:30,07:31,07:46,01/08/2026,
Sealth,Mukilteo,Clinton,08:00,08:00,08:15,01/08/2026,
Sealth,Clinton,Mukilteo,08:30,08:31,08:46,01/08/2026,
Sealth,Mukilteo,Clinton,09:00,09:01,09:15,01/08/2026,
