Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Sealth,Vashon,Fauntleroy,05:40,05:41,05:57,03/27/2026,
Sealth,Fauntleroy,Vashon,06:10,06:11,06:25,03/27/2026,
Sealth,Vashon,Fauntleroy,06:35,06:40,06:56,03/27/2026,
Sealth,Fauntleroy,Vashon,07:05,07:06,07:22,03/27/2026,
Sealth,Vashon,Southworth,07:30,07:31,07:44,03/27/2026,
Sealth,Southworth,Vashon,07:55,07:56,08:09,03/27/2026,
Sealth,Vashon,Fauntleroy,08:15,08:16,08:33,03/27/2026,
Sealth,Fauntleroy,Southworth,08:45,08:46,09:15,03/27/2026,
Sealth,Southworth,Vashon,09:20,09:22,09:35,03/27/2026,
Sealth,Vashon,Fauntleroy,09:40,09:43,09:59,03/27/2026,
Sealth,Fauntleroy,Vashon,10:10,10:12,10:28,03/27/2026,
Sealth,Vashon,Southworth,10:35,10:36,10:48,03/27/2026,
Sealth,Southworth,Vashon,11:00,11:00,11:13,03/27/2026,
Sealth,Vashon,Fauntleroy,11:20,11:21,11:41,03/27/2026,
Sealth,Fauntleroy,Vashon,11:50,11:50,12:09,03/27/2026,
Sealth,Vashon,Fauntleroy,12:20,12:21,12:37,03/27/2026,
Sealth,Fauntleroy,Vashon,12:50,12:51,13:07,03/27/2026,
Sealth,Vashon,Fauntleroy,14:15,14:16,14:31,03/27/2026,
Sealth,Fauntleroy,Vashon,14:45,14:46,15:00,03/27/2026,
Sealth,Vashon,Fauntleroy,15:25,15:26,15:41,03/27/2026,
Sealth,Fauntleroy,Southworth,16:10,16:14,16:35,03/27/2026,
Sealth,Southworth,Vashon,16:45,16:47,16:59,03/27/2026,
Sealth,Vashon,Fauntleroy,17:05,17:07,17:23,03/27/2026,
Sealth,Fauntleroy,Vashon,17:40,17:41,17:56,03/27/2026,
Sealth,Vashon,Southworth,18:05,18:06,18:19,03/27/2026,
Sealth,Southworth,Vashon,18:25,18:29,18:41,03/27/2026,
Sealth,Vashon,Fauntleroy,18:45,18:50,19:05,03/27/2026,
Sealth,Fauntleroy,Vashon,19:15,19:16,19:32,03/27/2026,
Sealth,Vashon,Southworth,19:40,19:41,19:52,03/27/2026,
Sealth,Southworth,Vashon,20:00,20:06,20:27,03/27/2026,
Sealth,Vashon,Fauntleroy,20:20,20:37,20:54,03/27/2026,
Sealth,Fauntleroy,Vashon,20:50,21:08,21:23,03/27/2026,
Sealth,Vashon,Southworth,21:15,21:32,21:43,03/27/2026,
Sealth,Southworth,Vashon,21:30,21:52,22:04,03/27/2026,
