Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Spokane,Edmonds,Kingston,23:45,00:01,00:24,11/29/2025,
Spokane,Kingston,Edmonds,07:00,07:10,07:32,11/30/2025,
Spokane,Edmonds,Kingston,07:55,07:56,08:17,11/30/2025,
Spokane,Kingston,Edmonds,08:40,08:43,09:05,11/30/2025,
Spokane,Edmonds,Kingston,09:35,09:37,09:58,11/30/2025,
Spokane,Kingston,Edmonds,10:20,10:22,10:45,11/30/2025,
Spokane,Edmonds,Kingston,11:05,11:08,11:28,11/30/2025,
Spokane,Kingston,Edmonds,11:55,11:56,12:20,11/30/2025,
Spokane,Edmonds,Kingston,12:40,12:42,13:02,11/30/2025,
Spokane,Kingston,Edmonds,13:30,13:31,13:52,11/30/2025,
