Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Spokane,Kingston,Edmonds,05:30,05:41,06:02,03/30/2026,
Spokane,Edmonds,Kingston,06:15,06:18,06:41,03/30/2026,
Spokane,Kingston,Edmonds,07:00,07:01,07:22,03/30/2026,
Spokane,Edmonds,Kingston,07:55,07:57,08:19,03/30/2026,
Spokane,Kingston,Edmonds,08:40,08:41,09:04,03/30/2026,
Spokane,Edmonds,Kingston,09:35,09:36,09:58,03/30/2026,
Spokane,Kingston,Edmonds,10:20,10:21,10:42,03/30/2026,
Spokane,Edmonds,Kingston,11:05,11:06,11:28,03/30/2026,
Spokane,Kingston,Edmonds,11:55,11:56,12:18,03/30/2026,
Spokane,Edmonds,Kingston,12:40,12:40,13:03,03/30/2026,
Spokane,Kingston,Edmonds,13:30,13:32,13:55,03/30/2026,
Spokane,Edmonds,Kingston,14:25,14:27,14:48,03/30/2026,
Spokane,Kingston,Edmonds,15:10,15:11,15:33,03/30/2026,
Spokane,Edmonds,Kingston,15:55,16:09,16:31,03/30/2026,
Spokane,Kingston,Edmonds,16:40,16:49,17:11,03/30/2026,
Spokane,Edmonds,Kingston,17:25,17:30,17:53,03/30/2026,
Spokane,Kingston,Edmonds,18:10,18:10,18:32,03/30/2026,
Spokane,Edmonds,Kingston,19:00,19:02,19:24,03/30/2026,
Spokane,Kingston,Edmonds,19:45,19:47,20:08,03/30/2026,
Spokane,Edmonds,Kingston,20:30,20:31,20:51,03/30/2026,
