Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Suquamish,Mukilteo,Clinton,00:05,00:05,00:19,07/13/2026,
Suquamish,Clinton,Mukilteo,00:35,00:35,00:48,07/13/2026,
Suquamish,Mukilteo,Clinton,01:05,01:05,01:19,07/13/2026,
Suquamish,Clinton,Mukilteo,04:40,04:40,04:53,07/13/2026,
Suquamish,Mukilteo,Clinton,05:05,05:05,05:19,07/13/2026,
Suquamish,Clinton,Mukilteo,05:30,05:30,05:44,07/13/2026,
Suquamish,Mukilteo,Clinton,06:00,06:01,06:16,07/13/2026,
Suquamish,Clinton,Mukilteo,06:30,06:32,06:46,07/13/2026,
Suquamish,Mukilteo,Clinton,07:00,07:00,07:13,07/13/2026,
Suquamish,Clinton,Mukilteo,07:30,07:32,07:46,07/13/2026,
Suquamish,Mukilteo,Clinton,08:00,08:00,08:24,07/13/2026,
Suquamish,Clinton,Mukilteo,08:30,08:32,08:46,07/13/2026,
Suquamish,Mukilteo,Clinton,09:00,09:01,09:15,07/13/2026,
Suquamish,Clinton,Mukilteo,09:30,09:32,09:47,07/13/2026,
Suquamish,Mukilteo,Clinton,10:00,10:00,10:24,07/13/2026,
Suquamish,Clinton,Mukilteo,10:30,10:32,10:46,07/13/2026,
Suquamish,Mukilteo,Clinton,11:00,11:01,11:14,07/13/2026,
Suquamish,Clinton,Mukilteo,11:30,11:31,11:45,07/13/2026,
Suquamish,Mukilteo,Clinton,12:00,12:05,12:19,07/13/2026,
Suquamish,Clinton,Mukilteo,12:30,12:36,12:52,07/13/2026,
Suquamish,Mukilteo,Clinton,13:00,13:07,13:22,07/13/2026,
Suquamish,Clinton,Mukilteo,13:30,13:40,13:53,07/13/2026,
Suquamish,Mukilteo,Clinton,14:05,14:06,14:26,07/13/2026,
Suquamish,Clinton,Mukilteo,14:35,14:43,14:58,07/13/2026,
Suquamish,Mukilteo,Clinton,15:05,15:12,15:32,07/13/2026,
Suquamish,Clinton,Mukilteo,15:35,15:46,16:01,07/13/2026,
Suquamish,Mukilteo,Clinton,16:05,16:15,16:33,07/13/2026,
Suquamish,Clinton,Mukilteo,16:35,16:47,17:02,07/13/2026,
Suquamish,Mukilteo,Clinton,17:10,17:15,17:35,07/13/2026,
Suquamish,Clinton,Mukilteo,17:35,17:48,18:03,07/13/2026,
Suquamish,Mukilteo,Clinton,18:10,18:15,18:33,07/13/2026,
Suquamish,Clinton,Mukilteo,18:35,18:44,18:59,07/13/2026,
Suquamish,Mukilteo,Clinton,19:05,19:05,19:27,07/13/2026,
Suquamish,Clinton,Mukilteo,19:35,19:35,19:51,07/13/2026,
Suquamish,Mukilteo,Clinton,20:05,20:05,20:20,07/13/2026,
Suquamish,Clinton,Mukilteo,20:30,20:30,20:43,07/13/2026,
Suquamish,Mukilteo,Clinton,21:00,21:00,21:17,07/13/2026,
Suquamish,Clinton,Mukilteo,04:40,04:40,04:55,07/14/2026,
Suquamish,Mukilteo,Clinton,05:05,05:06,05:32,07/14/2026,
Suquamish,Clinton,Mukilteo,05:30,05:32,05:46,07/14/2026,
Suquamish,Mukilteo,Clinton,06:00,06:00,06:14,07/14/2026,
Suquamish,Clinton,Mukilteo,06:30,06:31,06:44,07/14/2026,
Suquamish,Mukilteo,Clinton,07:00,07:00,07:14,07/14/2026,
Suquamish,Clinton,Mukilteo,07:30,07:31,07:45,07/14/2026,
Suquamish,Mukilteo,Clinton,08:00,08:00,08:14,07/14/2026,
Suquamish,Clinton,Mukilteo,08:30,08:31,08:45,07/14/2026,
Suquamish,Mukilteo,Clinton,09:00,09:00,09:14,07/14/2026,
Suquamish,Clinton,Mukilteo,09:30,09:30,09:44,07/14/2026,
Suquamish,Mukilteo,Clinton,10:00,10:00,10:17,07/14/2026,
Suquamish,Clinton,Mukilteo,10:30,10:34,10:49,07/14/2026,
Suquamish,Mukilteo,Clinton,11:00,11:04,11:31,07/14/2026,
Suquamish,Clinton,Mukilteo,11:30,11:36,11:52,07/14/2026,
Suquamish,Mukilteo,Clinton,12:00,12:06,12:22,07/14/2026,
Suquamish,Clinton,Mukilteo,12:30,12:37,12:52,07/14/2026,
Suquamish,Mukilteo,Clinton,13:00,13:09,13:23,07/14/2026,
Suquamish,Clinton,Mukilteo,13:30,13:42,13:57,07/14/2026,
