Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Suquamish,Mukilteo,Clinton,00:05,00:10,00:23,08/28/2026,
Suquamish,Clinton,Mukilteo,00:35,00:36,00:49,08/28/2026,
Suquamish,Mukilteo,Clinton,01:05,01:05,01:17,08/28/2026,
Suquamish,Clinton,Mukilteo,04:40,04:41,04:53,08/28/2026,
Suquamish,Mukilteo,Clinton,05:05,05:06,05:19,08/28/2026,
Suquamish,Clinton,Mukilteo,05:30,05:30,05:44,08/28/2026,
Suquamish,Mukilteo,Clinton,06:00,06:00,06:14,08/28/2026,
Suquamish,Clinton,Mukilteo,06:30,06:31,06:44,08/28/2026,
Suquamish,Mukilteo,Clinton,07:00,07:01,07:15,08/28/2026,
Suquamish,Clinton,Mukilteo,07:30,07:31,07:45,08/28/2026,
Suquamish,Mukilteo,Clinton,08:00,08:00,08:15,08/28/2026,
Suquamish,Clinton,Mukilteo,08:30,08:30,08:45,08/28/2026,
Suquamish,Mukilteo,Clinton,09:00,09:00,09:14,08/28/2026,
Suquamish,Clinton,Mukilteo,09:30,09:30,09:44,08/28/2026,
Suquamish,Mukilteo,Clinton,10:00,10:00,10:15,08/28/2026,
Suquamish,Clinton,Mukilteo,10:30,10:34,10:48,08/28/2026,
Suquamish,Mukilteo,Clinton,11:00,11:05,11:19,08/28/2026,
Suquamish,Clinton,Mukilteo,11:30,11:37,11:50,08/28/2026,
Suquamish,Mukilteo,Clinton,12:00,12:07,12:21,08/28/2026,
Suquamish,Clinton,Mukilteo,12:30,12:39,12:52,08/28/2026,
Suquamish,Mukilteo,Clinton,13:00,13:10,13:24,08/28/2026,
Suquamish,Clinton,Mukilteo,13:30,13:40,13:53,08/28/2026,
Suquamish,Mukilteo,Clinton,14:05,14:12,14:26,08/28/2026,
Suquamish,Clinton,Mukilteo,14:35,14:44,14:57,08/28/2026,
Suquamish,Mukilteo,Clinton,15:05,15:14,15:29,08/28/2026,
Suquamish,Clinton,Mukilteo,15:35,15:49,16:04,08/28/2026,
Suquamish,Mukilteo,Clinton,16:05,16:22,16:35,08/28/2026,
Suquamish,Clinton,Mukilteo,16:35,16:55,17:08,08/28/2026,
Suquamish,Mukilteo,Clinton,17:10,17:24,17:39,08/28/2026,
Suquamish,Mukilteo,Clinton,18:10,18:27,18:43,08/28/2026,
Suquamish,Clinton,Mukilteo,21:00,21:15,21:32,08/28/2026,
Suquamish,Mukilteo,Clinton,22:00,22:00,22:14,08/28/2026,
Suquamish,Clinton,Mukilteo,22:30,22:30,22:48,08/28/2026,
Suquamish,Mukilteo,Clinton,23:00,23:00,23:14,08/28/2026,
Suquamish,Clinton,Mukilteo,23:30,23:39,23:52,08/28/2026,
Suquamish,Mukilteo,Clinton,00:05,00:08,00:22,08/29/2026,
