Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Tacoma,Bainbridge,Colman,05:20,05:22,05:55,06/23/2026,
Tacoma,Colman,Bainbridge,06:10,06:12,06:44,06/23/2026,
Tacoma,Bainbridge,Colman,07:05,07:06,07:41,06/23/2026,
Tacoma,Colman,Bainbridge,07:55,08:01,08:35,06/23/2026,
Tacoma,Bainbridge,Colman,08:45,08:50,09:22,06/23/2026,
Tacoma,Colman,Bainbridge,09:35,09:39,10:12,06/23/2026,
Tacoma,Bainbridge,Colman,10:25,10:27,10:58,06/23/2026,
Tacoma,Colman,Bainbridge,11:25,11:27,12:01,06/23/2026,
Tacoma,Bainbridge,Colman,12:20,12:24,12:56,06/23/2026,
Tacoma,Colman,Bainbridge,13:10,13:16,13:48,06/23/2026,
Tacoma,Bainbridge,Colman,14:05,14:06,14:38,06/23/2026,
Tacoma,Colman,Bainbridge,15:00,15:03,15:34,06/23/2026,
Tacoma,Bainbridge,Colman,15:50,15:56,16:35,06/23/2026,
Tacoma,Colman,Bainbridge,16:45,16:54,17:26,06/23/2026,
Tacoma,Bainbridge,Colman,17:35,17:47,18:18,06/23/2026,
Tacoma,Colman,Bainbridge,18:30,18:32,19:05,06/23/2026,
Tacoma,Bainbridge,Colman,19:20,19:21,19:52,06/23/2026,
Tacoma,Colman,Bainbridge,20:15,20:17,20:50,06/23/2026,
Tacoma,Bainbridge,Colman,21:00,21:01,21:32,06/23/2026,
Tacoma,Colman,Bainbridge,22:05,22:06,22:37,06/23/2026,
Tacoma,Bainbridge,Colman,04:45,04:47,05:19,06/24/2026,
Tacoma,Colman,Bainbridge,05:30,05:32,06:03,06/24/2026,
Tacoma,Bainbridge,Colman,06:20,06:21,06:54,06/24/2026,
Tacoma,Colman,Bainbridge,07:05,07:09,07:54,06/24/2026,
Tacoma,Bainbridge,Colman,07:55,08:04,08:36,06/24/2026,
Tacoma,Colman,Bainbridge,08:45,08:57,09:22,06/24/2026,
Tacoma,Bainbridge,Colman,09:40,09:42,10:15,06/24/2026,
Tacoma,Colman,Bainbridge,10:40,10:42,11:14,06/24/2026,
Tacoma,Bainbridge,Colman,11:30,11:34,12:05,06/24/2026,
Tacoma,Colman,Bainbridge,12:25,12:30,13:02,06/24/2026,
Tacoma,Bainbridge,Colman,13:15,13:18,13:50,06/24/2026,
Tacoma,Colman,Bainbridge,14:05,14:07,14:43,06/24/2026,
Tacoma,Bainbridge,Colman,14:55,15:02,15:32,06/24/2026,
Tacoma,Colman,Bainbridge,15:50,15:56,16:29,06/24/2026,
Tacoma,Bainbridge,Colman,16:45,16:47,17:18,06/24/2026,
Tacoma,Colman,Bainbridge,17:45,17:47,18:19,06/24/2026,
Tacoma,Bainbridge,Colman,18:40,18:41,19:12,06/24/2026,
Tacoma,Colman,Bainbridge,19:30,19:31,20:03,06/24/2026,
Tacoma,Bainbridge,Colman,20:20,20:21,20:52,06/24/2026,
Tacoma,Colman,Bainbridge,21:20,21:22,21:55,06/24/2026,
