Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Tacoma,Colman,Bainbridge,00:15,00:25,00:59,09/04/2026,
Tacoma,Bainbridge,Colman,00:55,01:05,01:37,09/04/2026,
Tacoma,Colman,Bainbridge,01:35,01:50,02:22,09/04/2026,
Tacoma,Bainbridge,Colman,04:45,04:46,05:19,09/04/2026,
Tacoma,Colman,Bainbridge,05:30,05:31,06:04,09/04/2026,
Tacoma,Bainbridge,Colman,06:20,06:22,06:54,09/04/2026,
Tacoma,Colman,Bainbridge,07:05,07:06,07:39,09/04/2026,
Tacoma,Bainbridge,Colman,07:55,07:56,08:28,09/04/2026,
Tacoma,Colman,Bainbridge,08:45,08:46,09:18,09/04/2026,
Tacoma,Bainbridge,Colman,09:40,09:41,10:15,09/04/2026,
Tacoma,Colman,Bainbridge,10:40,10:43,11:17,09/04/2026,
Tacoma,Bainbridge,Colman,11:30,11:37,12:07,09/04/2026,
Tacoma,Colman,Bainbridge,12:25,12:34,13:06,09/04/2026,
Tacoma,Bainbridge,Colman,13:15,13:23,13:54,09/04/2026,
Tacoma,Colman,Bainbridge,14:05,14:17,14:50,09/04/2026,
Tacoma,Bainbridge,Colman,14:55,15:09,15:43,09/04/2026,
Tacoma,Colman,Bainbridge,15:50,16:07,16:38,09/04/2026,
Tacoma,Bainbridge,Colman,16:45,16:56,17:27,09/04/2026,
Tacoma,Colman,Bainbridge,17:45,17:50,18:22,09/04/2026,
Tacoma,Bainbridge,Colman,18:40,18:41,19:15,09/04/2026,
Tacoma,Colman,Bainbridge,19:30,19:32,20:05,09/04/2026,
Tacoma,Bainbridge,Colman,20:20,20:21,20:53,09/04/2026,
Tacoma,Colman,Bainbridge,21:20,21:22,21:53,09/04/2026,
Tacoma,Bainbridge,Colman,22:00,22:06,22:38,09/04/2026,
Tacoma,Colman,Bainbridge,22:50,22:52,23:24,09/04/2026,
Tacoma,Bainbridge,Colman,23:30,23:34,00:07,09/04/2026,
Tacoma,Colman,Bainbridge,00:15,00:17,00:49,09/05/2026,
Tacoma,Bainbridge,Colman,00:55,00:58,01:30,09/05/2026,
Tacoma,Colman,Bainbridge,01:35,01:43,02:15,09/05/2026,
