Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Tillikum,Friday Harbor,Lopez,06:05,06:06,06:46,03/13/2026,
Tillikum,Lopez,Shaw,06:50,06:54,07:14,03/13/2026,
Tillikum,Shaw,Orcas,07:20,07:21,07:28,03/13/2026,
Tillikum,Orcas,Friday Harbor,07:40,07:41,08:27,03/13/2026,
Tillikum,Friday Harbor,Orcas,08:45,08:45,09:26,03/13/2026,
Tillikum,Orcas,Shaw,09:45,09:45,09:53,03/13/2026,
Tillikum,Shaw,Lopez,10:00,10:00,10:19,03/13/2026,
Tillikum,Lopez,Friday Harbor,10:30,10:30,11:11,03/13/2026,
Tillikum,Friday Harbor,Orcas,11:30,11:53,12:38,03/13/2026,
Tillikum,Orcas,Shaw,12:50,12:53,13:00,03/13/2026,
Tillikum,Shaw,Lopez,13:05,13:06,13:25,03/13/2026,
Tillikum,Lopez,Friday Harbor,13:35,13:35,14:15,03/13/2026,
Tillikum,Friday Harbor,Lopez,14:30,14:30,15:12,03/13/2026,
Tillikum,Lopez,Shaw,15:20,15:20,15:38,03/13/2026,
Tillikum,Shaw,Orcas,15:45,15:45,15:54,03/13/2026,
Tillikum,Orcas,Shaw,16:05,16:06,16:14,03/13/2026,
Tillikum,Shaw,Lopez,16:20,16:20,16:38,03/13/2026,
Tillikum,Lopez,Friday Harbor,16:50,16:50,17:30,03/13/2026,
Tillikum,Friday Harbor,Orcas,17:40,18:02,18:45,03/13/2026,
Tillikum,Orcas,Shaw,19:00,19:01,19:10,03/13/2026,
Tillikum,Shaw,Lopez,19:15,19:15,19:34,03/13/2026,
Tillikum,Anacortes,Friday Harbor,22:00,22:01,23:32,03/13/2026,
