Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Tillikum,Friday Harbor,Lopez,05:50,06:03,06:44,09/10/2026,
Tillikum,Lopez,Shaw,06:40,06:52,07:12,09/10/2026,
Tillikum,Shaw,Orcas,07:05,07:20,07:28,09/10/2026,
Tillikum,Orcas,Friday Harbor,07:25,07:41,08:22,09/10/2026,
Tillikum,Friday Harbor,Lopez,08:35,08:40,09:19,09/10/2026,
Tillikum,Lopez,Shaw,09:25,09:32,09:52,09/10/2026,
Tillikum,Shaw,Orcas,09:50,09:59,10:06,09/10/2026,
Tillikum,Orcas,Friday Harbor,10:10,10:21,11:11,09/10/2026,
Tillikum,Friday Harbor,Shaw,11:20,11:50,12:35,09/10/2026,
Tillikum,Shaw,Orcas,12:15,12:40,12:49,09/10/2026,
Tillikum,Orcas,Lopez,12:35,12:58,13:21,09/10/2026,
Tillikum,Lopez,Friday Harbor,13:05,13:30,14:10,09/10/2026,
Tillikum,Friday Harbor,Lopez,14:20,14:26,15:09,09/10/2026,
Tillikum,Lopez,Shaw,15:10,15:15,15:33,09/10/2026,
Tillikum,Shaw,Orcas,15:35,15:38,15:46,09/10/2026,
Tillikum,Orcas,Shaw,16:00,16:00,16:08,09/10/2026,
Tillikum,Shaw,Lopez,16:15,16:16,16:35,09/10/2026,
Tillikum,Lopez,Friday Harbor,16:45,16:55,17:35,09/10/2026,
Tillikum,Friday Harbor,Orcas,17:50,18:02,18:48,09/10/2026,
Tillikum,Orcas,Shaw,19:00,19:00,19:07,09/10/2026,
Tillikum,Shaw,Lopez,19:15,19:15,19:33,09/10/2026,
Tillikum,Lopez,Orcas,19:45,19:45,20:06,09/10/2026,
Tillikum,Orcas,Friday Harbor,20:15,20:15,20:55,09/10/2026,
Tillikum,Friday Harbor,Lopez,05:50,05:59,06:39,09/11/2026,
Tillikum,Lopez,Shaw,06:40,06:45,07:05,09/11/2026,
Tillikum,Shaw,Orcas,07:05,07:10,07:17,09/11/2026,
Tillikum,Orcas,Friday Harbor,07:25,07:25,08:04,09/11/2026,
Tillikum,Friday Harbor,Lopez,08:35,08:35,09:16,09/11/2026,
Tillikum,Lopez,Shaw,09:25,09:28,09:47,09/11/2026,
Tillikum,Shaw,Orcas,09:50,09:50,10:00,09/11/2026,
