Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Tokitae,Mukilteo,Clinton,00:05,00:05,00:20,01/27/2026,
Tokitae,Clinton,Mukilteo,00:35,00:35,00:48,01/27/2026,
Tokitae,Mukilteo,Clinton,01:05,01:05,01:19,01/27/2026,
Tokitae,Clinton,Mukilteo,05:05,05:06,05:28,01/27/2026,
Tokitae,Mukilteo,Clinton,05:35,05:37,05:51,01/27/2026,
Tokitae,Clinton,Mukilteo,06:00,06:05,06:19,01/27/2026,
Tokitae,Mukilteo,Clinton,06:30,06:31,06:46,01/27/2026,
Tokitae,Clinton,Mukilteo,07:00,07:01,07:17,01/27/2026,
Tokitae,Mukilteo,Clinton,07:30,07:31,07:46,01/27/2026,
Tokitae,Clinton,Mukilteo,08:00,08:01,08:16,01/27/2026,
Tokitae,Mukilteo,Clinton,08:30,08:30,08:45,01/27/2026,
Tokitae,Clinton,Mukilteo,09:00,09:01,09:17,01/27/2026,
Tokitae,Mukilteo,Clinton,09:30,09:30,09:46,01/27/2026,
Tokitae,Clinton,Mukilteo,10:00,10:02,10:16,01/27/2026,
Tokitae,Mukilteo,Clinton,10:30,10:31,10:46,01/27/2026,
Tokitae,Clinton,Mukilteo,11:00,11:02,11:16,01/27/2026,
Tokitae,Mukilteo,Clinton,11:30,11:30,11:45,01/27/2026,
Tokitae,Clinton,Mukilteo,12:00,12:01,12:17,01/27/2026,
