Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Tokitae,Clinton,Mukilteo,05:05,05:06,05:27,04/20/2026,
Tokitae,Mukilteo,Clinton,05:35,05:36,05:51,04/20/2026,
Tokitae,Clinton,Mukilteo,06:00,06:04,06:18,04/20/2026,
Tokitae,Mukilteo,Clinton,06:30,06:31,06:46,04/20/2026,
Tokitae,Clinton,Mukilteo,07:00,07:01,07:15,04/20/2026,
Tokitae,Mukilteo,Clinton,07:30,07:30,07:46,04/20/2026,
Tokitae,Clinton,Mukilteo,08:00,08:01,08:15,04/20/2026,
Tokitae,Mukilteo,Clinton,08:30,08:31,08:45,04/20/2026,
Tokitae,Clinton,Mukilteo,09:00,09:01,09:15,04/20/2026,
Tokitae,Mukilteo,Clinton,09:30,09:30,09:46,04/20/2026,
Tokitae,Clinton,Mukilteo,10:00,10:03,10:18,04/20/2026,
Tokitae,Mukilteo,Clinton,10:30,10:31,10:46,04/20/2026,
Tokitae,Clinton,Mukilteo,11:00,11:01,11:15,04/20/2026,
Tokitae,Mukilteo,Clinton,11:30,11:30,11:46,04/20/2026,
Tokitae,Clinton,Mukilteo,12:00,12:00,12:14,04/20/2026,
Tokitae,Mukilteo,Clinton,12:30,12:30,12:46,04/20/2026,
Tokitae,Clinton,Mukilteo,13:00,13:02,13:16,04/20/2026,
Tokitae,Mukilteo,Clinton,13:30,13:31,13:46,04/20/2026,
Tokitae,Clinton,Mukilteo,14:00,14:01,14:16,04/20/2026,
Tokitae,Mukilteo,Clinton,14:35,14:35,14:50,04/20/2026,
Tokitae,Clinton,Mukilteo,15:05,15:06,15:21,04/20/2026,
Tokitae,Mukilteo,Clinton,15:35,15:36,15:51,04/20/2026,
Tokitae,Clinton,Mukilteo,16:05,16:09,16:24,04/20/2026,
Tokitae,Mukilteo,Clinton,16:40,16:41,16:56,04/20/2026,
Tokitae,Clinton,Mukilteo,17:05,17:12,17:26,04/20/2026,
Tokitae,Mukilteo,Clinton,17:40,17:41,17:57,04/20/2026,
Tokitae,Clinton,Mukilteo,18:05,18:10,18:24,04/20/2026,
Tokitae,Mukilteo,Clinton,18:40,18:41,18:55,04/20/2026,
Tokitae,Clinton,Mukilteo,19:05,19:06,19:21,04/20/2026,
Tokitae,Mukilteo,Clinton,19:35,19:36,19:51,04/20/2026,
Tokitae,Clinton,Mukilteo,20:00,20:01,20:15,04/20/2026,
Tokitae,Mukilteo,Clinton,20:35,20:36,20:51,04/20/2026,
Tokitae,Clinton,Mukilteo,21:30,21:33,21:47,04/20/2026,
Tokitae,Mukilteo,Clinton,22:00,22:00,22:14,04/20/2026,
Tokitae,Clinton,Mukilteo,22:30,22:32,22:44,04/20/2026,
Tokitae,Mukilteo,Clinton,23:00,23:00,23:14,04/20/2026,
Tokitae,Clinton,Mukilteo,23:30,23:30,23:44,04/20/2026,
Tokitae,Mukilteo,Clinton,00:05,00:05,00:18,04/21/2026,
Tokitae,Clinton,Mukilteo,00:35,00:36,00:49,04/21/2026,
Tokitae,Mukilteo,Clinton,01:05,01:05,01:18,04/21/2026,
Tokitae,Clinton,Mukilteo,05:05,05:06,05:25,04/21/2026,
Tokitae,Mukilteo,Clinton,05:35,05:35,05:50,04/21/2026,
Tokitae,Clinton,Mukilteo,06:00,06:03,06:18,04/21/2026,
Tokitae,Mukilteo,Clinton,06:30,06:31,06:46,04/21/2026,
Tokitae,Clinton,Mukilteo,07:00,07:01,07:15,04/21/2026,
Tokitae,Mukilteo,Clinton,07:30,07:30,07:45,04/21/2026,
Tokitae,Clinton,Mukilteo,08:00,08:11,08:29,04/21/2026,
Tokitae,Mukilteo,Clinton,08:30,08:44,09:00,04/21/2026,
Tokitae,Clinton,Mukilteo,09:00,09:14,09:29,04/21/2026,
Tokitae,Mukilteo,Clinton,09:30,09:47,10:02,04/21/2026,
Tokitae,Clinton,Mukilteo,10:00,10:19,10:32,04/21/2026,
Tokitae,Mukilteo,Clinton,10:30,10:44,11:00,04/21/2026,
