Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
WallaWalla,Kingston,Edmonds,04:45,05:03,05:25,05/29/2026,
WallaWalla,Edmonds,Kingston,05:35,05:39,06:02,05/29/2026,
WallaWalla,Kingston,Edmonds,06:25,06:26,06:49,05/29/2026,
WallaWalla,Edmonds,Kingston,07:10,07:12,07:36,05/29/2026,
WallaWalla,Kingston,Edmonds,07:55,07:57,08:22,05/29/2026,
WallaWalla,Edmonds,Kingston,08:50,08:52,09:15,05/29/2026,
WallaWalla,Kingston,Edmonds,09:35,09:49,10:12,05/29/2026,
WallaWalla,Edmonds,Kingston,10:20,10:33,10:56,05/29/2026,
WallaWalla,Kingston,Edmonds,11:05,11:17,11:43,05/29/2026,
WallaWalla,Edmonds,Kingston,11:55,12:10,12:33,05/29/2026,
WallaWalla,Kingston,Edmonds,12:45,12:59,13:23,05/29/2026,
WallaWalla,Edmonds,Kingston,13:35,13:46,14:14,05/29/2026,
WallaWalla,Kingston,Edmonds,14:30,14:37,15:02,05/29/2026,
WallaWalla,Edmonds,Kingston,15:15,15:28,15:51,05/29/2026,
WallaWalla,Kingston,Edmonds,16:00,16:14,16:43,05/29/2026,
WallaWalla,Edmonds,Kingston,16:45,17:03,17:30,05/29/2026,
WallaWalla,Kingston,Edmonds,17:30,18:03,18:26,05/29/2026,
WallaWalla,Edmonds,Kingston,18:15,18:53,19:16,05/29/2026,
WallaWalla,Kingston,Edmonds,19:00,19:34,19:57,05/29/2026,
WallaWalla,Edmonds,Kingston,19:40,20:14,20:40,05/29/2026,
WallaWalla,Kingston,Edmonds,20:20,20:54,21:16,05/29/2026,
WallaWalla,Edmonds,Kingston,21:05,21:26,21:50,05/29/2026,
WallaWalla,Kingston,Edmonds,21:40,21:59,22:22,05/29/2026,
WallaWalla,Edmonds,Kingston,22:25,22:35,22:57,05/29/2026,
WallaWalla,Kingston,Edmonds,23:10,23:10,23:34,05/29/2026,
WallaWalla,Edmonds,Kingston,23:45,23:46,00:08,05/29/2026,
WallaWalla,Kingston,Edmonds,04:45,04:47,05:11,05/30/2026,
WallaWalla,Edmonds,Kingston,05:35,05:37,06:00,05/30/2026,
WallaWalla,Kingston,Edmonds,06:25,06:26,06:51,05/30/2026,
WallaWalla,Edmonds,Kingston,07:10,07:11,07:34,05/30/2026,
WallaWalla,Kingston,Edmonds,07:55,07:57,08:20,05/30/2026,
