Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
WallaWalla,Bainbridge,Colman,04:45,04:46,05:23,07/15/2026,
WallaWalla,Colman,Bainbridge,05:30,05:36,06:08,07/15/2026,
WallaWalla,Bainbridge,Colman,06:20,06:23,06:57,07/15/2026,
WallaWalla,Colman,Bainbridge,07:05,07:19,07:54,07/15/2026,
WallaWalla,Bainbridge,Colman,07:55,08:21,08:55,07/15/2026,
WallaWalla,Colman,Bainbridge,08:45,09:22,09:57,07/15/2026,
WallaWalla,Bainbridge,Colman,10:25,10:23,10:58,07/15/2026,
WallaWalla,Colman,Bainbridge,11:25,11:26,12:04,07/15/2026,
WallaWalla,Bainbridge,Colman,12:20,12:30,13:05,07/15/2026,
WallaWalla,Colman,Bainbridge,13:10,13:32,14:08,07/15/2026,
