Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Wenatchee,Bainbridge,Colman,05:20,05:21,05:53,05/02/2026,
Wenatchee,Colman,Bainbridge,06:10,06:12,06:47,05/02/2026,
Wenatchee,Bainbridge,Colman,07:05,07:08,07:42,05/02/2026,
Wenatchee,Colman,Bainbridge,07:55,07:56,08:31,05/02/2026,
Wenatchee,Bainbridge,Colman,08:45,08:48,09:19,05/02/2026,
Wenatchee,Colman,Bainbridge,09:35,09:40,10:14,05/02/2026,
Wenatchee,Bainbridge,Colman,10:25,10:30,11:04,05/02/2026,
Wenatchee,Colman,Bainbridge,11:25,11:32,12:07,05/02/2026,
Wenatchee,Bainbridge,Colman,12:20,12:29,13:03,05/02/2026,
Wenatchee,Colman,Bainbridge,13:15,13:31,14:06,05/02/2026,
Wenatchee,Bainbridge,Colman,14:10,14:27,14:58,05/02/2026,
Wenatchee,Colman,Bainbridge,15:05,15:25,15:57,05/02/2026,
Wenatchee,Bainbridge,Colman,15:55,16:23,16:53,05/02/2026,
Wenatchee,Colman,Bainbridge,16:45,17:21,17:53,05/02/2026,
Wenatchee,Bainbridge,Colman,17:35,18:18,18:49,05/02/2026,
Wenatchee,Colman,Bainbridge,18:25,19:07,19:40,05/02/2026,
Wenatchee,Bainbridge,Colman,05:20,05:21,05:53,05/03/2026,
Wenatchee,Colman,Bainbridge,06:10,06:11,06:45,05/03/2026,
Wenatchee,Bainbridge,Colman,07:05,07:16,07:44,05/03/2026,
Wenatchee,Colman,Bainbridge,07:55,07:55,08:31,05/03/2026,
Wenatchee,Bainbridge,Colman,08:45,08:47,09:18,05/03/2026,
Wenatchee,Colman,Bainbridge,09:35,09:37,10:18,05/03/2026,
Wenatchee,Bainbridge,Colman,10:25,10:34,11:04,05/03/2026,
Wenatchee,Colman,Bainbridge,11:25,11:29,12:04,05/03/2026,
Wenatchee,Bainbridge,Colman,12:20,12:31,13:03,05/03/2026,
Wenatchee,Colman,Bainbridge,13:15,13:28,14:07,05/03/2026,
Wenatchee,Bainbridge,Colman,14:10,14:30,15:04,05/03/2026,
Wenatchee,Colman,Bainbridge,15:05,15:24,16:01,05/03/2026,
Wenatchee,Bainbridge,Colman,15:55,16:23,16:55,05/03/2026,
Wenatchee,Colman,Bainbridge,16:45,17:13,17:55,05/03/2026,
