Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Wenatchee,Colman,Bainbridge,00:15,00:16,00:47,07/02/2026,
Wenatchee,Bainbridge,Colman,00:55,00:55,01:25,07/02/2026,
Wenatchee,Colman,Bainbridge,01:35,01:37,02:10,07/02/2026,
Wenatchee,Bainbridge,Colman,04:45,04:46,05:16,07/02/2026,
Wenatchee,Colman,Bainbridge,05:30,05:31,06:01,07/02/2026,
Wenatchee,Bainbridge,Colman,06:20,06:21,06:51,07/02/2026,
Wenatchee,Colman,Bainbridge,07:05,07:06,07:37,07/02/2026,
Wenatchee,Bainbridge,Colman,07:55,07:56,08:26,07/02/2026,
Wenatchee,Colman,Bainbridge,08:45,08:47,09:18,07/02/2026,
Wenatchee,Bainbridge,Colman,09:40,09:41,10:12,07/02/2026,
Wenatchee,Colman,Bainbridge,10:40,10:42,11:11,07/02/2026,
Wenatchee,Bainbridge,Colman,11:30,11:37,12:09,07/02/2026,
Wenatchee,Colman,Bainbridge,12:25,12:38,13:09,07/02/2026,
Wenatchee,Bainbridge,Colman,13:15,13:30,14:01,07/02/2026,
Wenatchee,Colman,Bainbridge,14:05,14:31,15:29,07/02/2026,
Wenatchee,Bainbridge,Colman,14:55,15:42,16:15,07/02/2026,
Wenatchee,Colman,Bainbridge,18:30,18:28,19:01,07/02/2026,
Wenatchee,Bainbridge,Colman,19:20,19:23,19:53,07/02/2026,
Wenatchee,Colman,Bainbridge,20:15,20:17,20:48,07/02/2026,
Wenatchee,Bainbridge,Colman,21:00,21:07,21:37,07/02/2026,
Wenatchee,Bainbridge,Colman,22:00,22:58,23:30,07/02/2026,
Wenatchee,Colman,Bainbridge,22:05,22:08,22:41,07/02/2026,
Wenatchee,Bainbridge,Colman,23:30,00:20,00:54,07/02/2026,
Wenatchee,Colman,Bainbridge,00:15,01:01,01:32,07/03/2026,
Wenatchee,Bainbridge,Colman,00:55,01:38,02:12,07/03/2026,
Wenatchee,Colman,Bainbridge,01:35,02:21,02:52,07/03/2026,
Wenatchee,Bainbridge,Colman,04:45,04:45,05:18,07/03/2026,
Wenatchee,Colman,Bainbridge,05:30,05:31,06:04,07/03/2026,
