Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Yakima,Anacortes,Friday Harbor,04:05,04:05,05:13,01/18/2026,
Yakima,Friday Harbor,Lopez,05:40,05:40,06:13,01/18/2026,
Yakima,Lopez,Anacortes,06:25,06:25,07:09,01/18/2026,
Yakima,Anacortes,Orcas,07:30,07:30,08:25,01/18/2026,
Yakima,Orcas,Shaw,08:55,08:57,09:07,01/18/2026,
Yakima,Shaw,Anacortes,09:10,09:13,10:05,01/18/2026,
Yakima,Anacortes,Friday Harbor,10:30,10:29,11:41,01/18/2026,
Yakima,Friday Harbor,Anacortes,12:20,12:20,13:45,01/18/2026,
Yakima,Anacortes,Lopez,13:55,14:00,14:43,01/18/2026,
Yakima,Lopez,Anacortes,15:05,15:05,15:48,01/18/2026,
