Depart,Destination,Drive-up,Vessel,timestamp
02:05 PM,Seattle,141 Spaces,Tacoma,4/10/2026 1:51:12 PM
02:55 PM,Seattle,197 Spaces,Puyallup,4/10/2026 1:51:12 PM
03:50 PM,Seattle,197 Spaces,Tacoma,4/10/2026 1:51:12 PM
04:45 PM,Seattle,197 Spaces,Puyallup,4/10/2026 1:51:12 PM
05:35 PM,Seattle,197 Spaces,Tacoma,4/10/2026 1:51:12 PM
06:40 PM,Seattle,197 Spaces,Puyallup,4/10/2026 1:51:12 PM
07:20 PM,Seattle,197 Spaces,Tacoma,4/10/2026 1:51:12 PM
08:20 PM,Seattle,197 Spaces,Puyallup,4/10/2026 1:51:12 PM
09:00 PM,Seattle,197 Spaces,Tacoma,4/10/2026 1:51:12 PM
10:00 PM,Seattle,197 Spaces,Puyallup,4/10/2026 1:51:12 PM
11:30 PM,Seattle,197 Spaces,Puyallup,4/10/2026 1:51:12 PM
