"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Adams","LAMONT SCHOOL DISTRICT - 264 Replacement Educational Programs and Operation Levy","Levy Yes"," ","0","0","School"
"Adams","LAMONT SCHOOL DISTRICT - 264 Replacement Educational Programs and Operation Levy","Levy No"," ","0","0","School"
"Adams","TOWN OF HATTON Council Position  1","Colleen &quot;Connie Mae&quot; Johnston"," ","3","17.6471","City/Town"
"Adams","TOWN OF HATTON Council Position  1","Jenifer J Silva"," ","14","82.3529","City/Town"
"Adams","TOWN OF HATTON Council Position  1","Justine L Pherigo"," ","0","0","City/Town"
"Adams","TOWN OF HATTON Council Position  1","WRITE-IN"," ","0","0","City/Town"
"Adams","TOWN OF LIND Mayor","Adam Lyons"," ","1","0.7143","City/Town"
"Adams","TOWN OF LIND Mayor","Jamie Schmunk"," ","55","39.2857","City/Town"
"Adams","TOWN OF LIND Mayor","Paula Bell"," ","35","25","City/Town"
"Adams","TOWN OF LIND Mayor","Glenn Aby"," ","49","35","City/Town"
"Adams","TOWN OF LIND Mayor","WRITE-IN"," ","0","0","City/Town"
"Adams","TOWN OF LIND Council Position 1","Robert C Meader"," ","35","25.3623","City/Town"
"Adams","TOWN OF LIND Council Position 1","Richard Baldwin"," ","13","9.4203","City/Town"
"Adams","TOWN OF LIND Council Position 1","Kathleen DeVore"," ","5","3.6232","City/Town"
"Adams","TOWN OF LIND Council Position 1","Gary R DeMoss Sr"," ","3","2.1739","City/Town"
"Adams","TOWN OF LIND Council Position 1","Gary Kipfer"," ","82","59.4203","City/Town"
"Adams","TOWN OF LIND Council Position 1","WRITE-IN"," ","0","0","City/Town"
"Adams","TOWN OF LIND Council Position 2","Betty &quot;Chuckie&quot; Harris"," ","77","56.2044","City/Town"
"Adams","TOWN OF LIND Council Position 2","Heather Fields"," ","23","16.7883","City/Town"
"Adams","TOWN OF LIND Council Position 2","Anna Dobbins"," ","35","25.5474","City/Town"
"Adams","TOWN OF LIND Council Position 2","WRITE-IN"," ","2","1.4599","City/Town"
"Adams","TOWN OF LIND Council Position 3","Gary Blaylock"," ","71","54.1985","City/Town"
"Adams","TOWN OF LIND Council Position 3","Jeremiah Shea"," ","22","16.7939","City/Town"
"Adams","TOWN OF LIND Council Position 3","Stan Allan"," ","35","26.7176","City/Town"
"Adams","TOWN OF LIND Council Position 3","WRITE-IN"," ","3","2.2901","City/Town"
"Adams","WASHTUCNA PARK AND RECREATION 2 Special Election  Proposition No. 1","Approved"," ","46","62.1622","Park and Recreation"
"Adams","WASHTUCNA PARK AND RECREATION 2 Special Election  Proposition No. 1","Rejected"," ","28","37.8378","Park and Recreation"
"Adams","LIND PARK AND RECREATION 3 Special Election Proposition No. 1","Approved"," ","116","62.7027","Park and Recreation"
"Adams","LIND PARK AND RECREATION 3 Special Election Proposition No. 1","Rejected"," ","69","37.2973","Park and Recreation"
"Adams","RITZVILLE PARK AND RECREATION 4 Special Election Proposition No. 1","Approved"," ","324","66.9421","Park and Recreation"
"Adams","RITZVILLE PARK AND RECREATION 4 Special Election Proposition No. 1","Rejected"," ","160","33.0579","Park and Recreation"
"Asotin","FIRE DISTRICT 1 Emergency Medical Services Levy Lid Lift","Approved"," ","1890","68.6275","Fire"
"Asotin","FIRE DISTRICT 1 Emergency Medical Services Levy Lid Lift","Rejected"," ","864","31.3725","Fire"
"Benton","City Of Prosser Council Pos. 2","William (Bill) Jenkin"," ","372","58.0343","City/Town"
"Benton","City Of Prosser Council Pos. 2","Vance Glasscock"," ","173","26.9891","City/Town"
"Benton","City Of Prosser Council Pos. 2","Jackie K. Kimble"," ","94","14.6646","City/Town"
"Benton","City Of Prosser Council Pos. 2","WRITE-IN"," ","2","0.312","City/Town"
"Benton","Kennewick Ward District #1 Council Position 1 Ward 1","Austin Miller"," ","1117","33.9927","City/Town"
"Benton","Kennewick Ward District #1 Council Position 1 Ward 1","Tina Gregory"," ","977","29.7322","City/Town"
"Benton","Kennewick Ward District #1 Council Position 1 Ward 1","Jason McShane"," ","1182","35.9708","City/Town"
"Benton","Kennewick Ward District #1 Council Position 1 Ward 1","WRITE-IN"," ","10","0.3043","City/Town"
"Benton","Kennewick Ward District #3 Council Position 3 Ward 3","Douglas Perez"," ","484","26.7551","City/Town"
"Benton","Kennewick Ward District #3 Council Position 3 Ward 3","Warren Hughs"," ","551","30.4588","City/Town"
"Benton","Kennewick Ward District #3 Council Position 3 Ward 3","John Trumbo"," ","770","42.565","City/Town"
"Benton","Kennewick Ward District #3 Council Position 3 Ward 3","WRITE-IN"," ","4","0.2211","City/Town"
"Benton","City Of Kennewick Council Position 4 At Large","Gloria Tyler Baker"," ","1919","26.0557","City/Town"
"Benton","City Of Kennewick Council Position 4 At Large","Danielle Schuster"," ","396","5.3768","City/Town"
"Benton","City Of Kennewick Council Position 4 At Large","Brad Klippert"," ","5014","68.0788","City/Town"
"Benton","City Of Kennewick Council Position 4 At Large","WRITE-IN"," ","36","0.4888","City/Town"
"Benton","City Of Richland Council Pos. 3","Robert Walko"," ","2070","27.9428","City/Town"
"Benton","City Of Richland Council Pos. 3","Pat Holten"," ","3925","52.9833","City/Town"
"Benton","City Of Richland Council Pos. 3","Sandra Kent"," ","1400","18.8985","City/Town"
"Benton","City Of Richland Council Pos. 3","WRITE-IN"," ","13","0.1755","City/Town"
"Benton","City Of Richland Council Pos. 4","Jordan Lee"," ","254","3.4709","City/Town"
"Benton","City Of Richland Council Pos. 4","John Maier"," ","2628","35.9115","City/Town"
"Benton","City Of Richland Council Pos. 4","Donald Landsman"," ","4404","60.1804","City/Town"
"Benton","City Of Richland Council Pos. 4","WRITE-IN"," ","32","0.4373","City/Town"
"Benton","City Of Richland Council Pos. 6","Joshua Arnold"," ","1184","15.9784","City/Town"
"Benton","City Of Richland Council Pos. 6","Kyle Saltz"," ","2910","39.2713","City/Town"
"Benton","City Of Richland Council Pos. 6","Kurt H Maier"," ","3306","44.6154","City/Town"
"Benton","City Of Richland Council Pos. 6","WRITE-IN"," ","10","0.135","City/Town"
"Benton","City Of Richland Council Pos. 7","Joshua Short"," ","1337","18.1534","City/Town"
"Benton","City Of Richland Council Pos. 7","Tony Sanchez"," ","1491","20.2444","City/Town"
"Benton","City Of Richland Council Pos. 7","Colin Michael"," ","1829","24.8337","City/Town"
"Benton","City Of Richland Council Pos. 7","Ryan Whitten"," ","2696","36.6056","City/Town"
"Benton","City Of Richland Council Pos. 7","WRITE-IN"," ","12","0.1629","City/Town"
"Benton","Kennewick School District 17 Director No. 1","Mike Luzzo"," ","572","6.0516","School"
"Benton","Kennewick School District 17 Director No. 1","Robert Franklin"," ","3613","38.2247","School"
"Benton","Kennewick School District 17 Director No. 1","Micah Valentine"," ","5233","55.3639","School"
"Benton","Kennewick School District 17 Director No. 1","WRITE-IN"," ","34","0.3597","School"
"Benton","GRANDVIEW SCHOOL DISTRICT NO. 200 Director, District 5","Cecilia Lamas Noriega"," ","1","3.4483","School"
"Benton","GRANDVIEW SCHOOL DISTRICT NO. 200 Director, District 5","Amanda Rodriguez"," ","7","24.1379","School"
"Benton","GRANDVIEW SCHOOL DISTRICT NO. 200 Director, District 5","Elena Olmstead"," ","21","72.4138","School"
"Benton","GRANDVIEW SCHOOL DISTRICT NO. 200 Director, District 5","WRITE-IN"," ","0","0","School"
"Benton","Fire District #1 Proposition No. 1","Approved"," ","1491","60.0242","Fire"
