id,report_number,origin,sponsor_id,sponsor_name,sponsor_description,report_type,report_date,election_year,sponsor_address,sponsor_city,sponsor_state,sponsor_zip,sponsor_email,sponsor_phone,total_unitemized,total_cycle,expenditure_amount,expenditure_description,date_expense_obligated,date_advertising_presented,vendor_name,vendor_address,vendor_city,vendor_state,vendor_zipcode,url,sponsor_location,vendor_location,candidate_entity_id,candidate_candidacy_id,candidate_committee_id,candidate_filer_id,candidate_name,candidate_last_name,candidate_first_name,candidate_office,candidate_jurisdiction,candidate_party,portion_of_amount,for_or_against,filer_id,sponsor_entity_id,funders_name,date_received,amount,funders_address,funders_city,funders_state,funders_zipcode,funders_location,ballot_name,ballot_number,ballot_type,funders_first_name,funders_occupation,funders_employer,funders_employer_city,funders_employer_state,total_this_report
3540.expn,2241,C6.2 - Itemized Expenditures,320,ASIAN & PACIFIC ISLANDER FOR GREGOIRE,Not Required for an Independent Expenditure,Independent Expenditure,2009-02-12T00:00:00.000,2008,1402 THIRD AVE SUITE 515,SEATTLE,WA,98101,YK_RICH@YAHOO.COM,2063040588,0.00,7361.38,500.00,FIELD WORKS FOR APIFG,2009-02-02T00:00:00.000,2009-02-02T00:00:00.000,JARED M JONSON,1000 8TH AVE APT 1-1013,SEATTLE,WA,98104,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-2241'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}","{'type': 'Point', 'coordinates': [-122.3285, 47.60835]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3435.entity,2241,C6.3 - Identified Entities,320,ASIAN & PACIFIC ISLANDER FOR GREGOIRE,Not Required for an Independent Expenditure,Independent Expenditure,2009-02-12T00:00:00.000,2008,1402 THIRD AVE SUITE 515,SEATTLE,WA,98101,,,0.00,7361.38,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-2241'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}",,7955,16502,7532,GREGC  507,CHRISTINE GREGOIRE ,GREGOIRE,CHRISTINE,GOVERNOR,"GOVERNOR, OFFICE OF",DEMOCRAT,500.00,For,GREGC  507,,,,,,,,,,,,,,,,,,
3422.entity,2229,C6.3 - Identified Entities,315,FUSE VOTES,Not Required for an Independent Expenditure,Independent Expenditure,2009-01-22T00:00:00.000,2008,1402 THIRD AVE SUITE 510,SEATTLE,WA,98101,,,181.09,357.00,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-2229'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}",,10242,16081,16754,ROSSD  029,DINO ROSSI ,ROSSI,DINO,GOVERNOR,"GOVERNOR, OFFICE OF",REPUBLICAN,14115.50,Against,ROSSD  029,33404,,,,,,,,,,,,,,,,,
3423.entity,2230,C6.3 - Identified Entities,315,FUSE VOTES,Not Required for an Independent Expenditure,Independent Expenditure,2009-01-22T00:00:00.000,2008,1402 THIRD AVE SUITE 510,SEATTLE,WA,98101,,,0.00,18883.53,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-2230'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}",,7955,16502,7532,GREGC  507,CHRISTINE GREGOIRE ,GREGOIRE,CHRISTINE,GOVERNOR,"GOVERNOR, OFFICE OF",DEMOCRAT,5264.04,For,GREGC  507,33404,,,,,,,,,,,,,,,,,
3424.entity,2230,C6.3 - Identified Entities,315,FUSE VOTES,Not Required for an Independent Expenditure,Independent Expenditure,2009-01-22T00:00:00.000,2008,1402 THIRD AVE SUITE 510,SEATTLE,WA,98101,,,0.00,18883.53,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-2230'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}",,10242,16081,16754,ROSSD  029,DINO ROSSI ,ROSSI,DINO,GOVERNOR,"GOVERNOR, OFFICE OF",REPUBLICAN,14409.12,Against,ROSSD  029,33404,,,,,,,,,,,,,,,,,
3425.entity,2231,C6.3 - Identified Entities,321,NEW AMERICANS ACTION FUND,Not Required for an Independent Expenditure,Independent Expenditure,2009-01-22T00:00:00.000,2008,1402 THIRD AVE SUITE 515,SEATTLE,WA,98101,,,587.40,0.00,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-2231'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}",,7955,16502,7532,GREGC  507,CHRISTINE GREGOIRE ,GREGOIRE,CHRISTINE,GOVERNOR,"GOVERNOR, OFFICE OF",DEMOCRAT,5161.81,For,GREGC  507,,,,,,,,,,,,,,,,,,
3426.entity,2232,C6.3 - Identified Entities,321,NEW AMERICANS ACTION FUND,Not Required for an Independent Expenditure Ad,Independent Expenditure Ad,2009-01-22T00:00:00.000,2008,1402 THIRD AVE SUITE 515,SEATTLE,WA,98101,,,0.00,5161.81,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-2232'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}",,7955,16502,7532,GREGC  507,CHRISTINE GREGOIRE ,GREGOIRE,CHRISTINE,GOVERNOR,"GOVERNOR, OFFICE OF",DEMOCRAT,4417.71,For,GREGC  507,,,,,,,,,,,,,,,,,,
3427.entity,2233,C6.3 - Identified Entities,320,ASIAN & PACIFIC ISLANDER FOR GREGOIRE,Not Required for an Independent Expenditure,Independent Expenditure,2009-01-22T00:00:00.000,2008,1402 THIRD AVE SUITE 515,SEATTLE,WA,98101,,,120.00,0.00,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-2233'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}",,7955,16502,7532,GREGC  507,CHRISTINE GREGOIRE ,GREGOIRE,CHRISTINE,GOVERNOR,"GOVERNOR, OFFICE OF",DEMOCRAT,3309.38,For,GREGC  507,,,,,,,,,,,,,,,,,,
3428.entity,2234,C6.3 - Identified Entities,320,ASIAN & PACIFIC ISLANDER FOR GREGOIRE,Not Required for an Independent Expenditure Ad,Independent Expenditure Ad,2009-01-22T00:00:00.000,2008,1402 THIRD AVE SUITE 515,SEATTLE,WA,98101,,,0.00,3309.38,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-2234'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}",,7955,16502,7532,GREGC  507,CHRISTINE GREGOIRE ,GREGOIRE,CHRISTINE,GOVERNOR,"GOVERNOR, OFFICE OF",DEMOCRAT,3652.00,For,GREGC  507,,,,,,,,,,,,,,,,,,
3429.entity,2235,C6.3 - Identified Entities,320,ASIAN & PACIFIC ISLANDER FOR GREGOIRE,Not Required for an Independent Expenditure,Independent Expenditure,2009-01-22T00:00:00.000,2008,1402 THIRD AVE SUITE 515,SEATTLE,WA,98101,,,0.00,6961.38,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-2235'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}",,7955,16502,7532,GREGC  507,CHRISTINE GREGOIRE ,GREGOIRE,CHRISTINE,GOVERNOR,"GOVERNOR, OFFICE OF",DEMOCRAT,400.00,For,GREGC  507,,,,,,,,,,,,,,,,,,
