id,report_number,origin,sponsor_entity_id,sponsor_id,sponsor_name,sponsor_description,report_type,report_date,election_year,sponsor_address,sponsor_city,sponsor_state,sponsor_zip,sponsor_email,total_unitemized,total_cycle,total_this_report,expenditure_amount,expenditure_description,date_expense_obligated,date_advertising_presented,vendor_name,vendor_address,vendor_city,vendor_state,vendor_zipcode,url,sponsor_location,vendor_location,candidate_name,ballot_name,ballot_number,ballot_type,portion_of_amount,for_or_against,sponsor_phone,candidate_entity_id,candidate_candidacy_id,candidate_committee_id,candidate_filer_id,candidate_last_name,candidate_first_name,candidate_office,candidate_jurisdiction,candidate_party,filer_id,funders_name,date_received,amount,funders_address,funders_city,funders_state,funders_zipcode,funders_location,funders_first_name,funders_occupation,funders_employer,funders_employer_city,funders_employer_state
18599.expn,10810,C6.2 - Itemized Expenditures,34581,939,FREEDOM FOUNDATION ,"A business, union, group, association, organization, or other person using only general treasury funds.",Independent Expenditure,2021-03-11T00:00:00.000,2016,P.O. BOX 552,OLYMPIA,WA,98507,INFO@FREEDOMFOUNDATION.COM,131.97,17993.36,441.75,115.32,EASTERN WA RADIO BROADCAST,2016-07-01T00:00:00.000,2016-07-16T00:00:00.000,ACN RADIO NETWORK,P.O. BOX 31000,SPOKANE,WA,99223,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-10810'},"{'type': 'Point', 'coordinates': [-122.89604, 47.04087]}","{'type': 'Point', 'coordinates': [-117.36059, 47.60976]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18598.expn,10810,C6.2 - Itemized Expenditures,34581,939,FREEDOM FOUNDATION ,"A business, union, group, association, organization, or other person using only general treasury funds.",Independent Expenditure,2021-03-11T00:00:00.000,2016,P.O. BOX 552,OLYMPIA,WA,98507,INFO@FREEDOMFOUNDATION.COM,131.97,17993.36,441.75,31.04,EASTERN WA RADIO BROADCAST,2016-05-01T00:00:00.000,2016-05-21T00:00:00.000,ACN RADIO NETWORK,P.O. BOX 31000,SPOKANE,WA,99223,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-10810'},"{'type': 'Point', 'coordinates': [-122.89604, 47.04087]}","{'type': 'Point', 'coordinates': [-117.36059, 47.60976]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18597.expn,10810,C6.2 - Itemized Expenditures,34581,939,FREEDOM FOUNDATION ,"A business, union, group, association, organization, or other person using only general treasury funds.",Independent Expenditure,2021-03-11T00:00:00.000,2016,P.O. BOX 552,OLYMPIA,WA,98507,INFO@FREEDOMFOUNDATION.COM,131.97,17993.36,441.75,57.66,EASTERN WA RADIO BROADCAST,2016-05-01T00:00:00.000,2016-05-07T00:00:00.000,ACN RADIO NETWORK,P.O. BOX 31000,SPOKANE,WA,99223,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-10810'},"{'type': 'Point', 'coordinates': [-122.89604, 47.04087]}","{'type': 'Point', 'coordinates': [-117.36059, 47.60976]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23781.entity,10810,C6.3 - Identified Entities,34581,939,FREEDOM FOUNDATION ,"A business, union, group, association, organization, or other person using only general treasury funds.",Independent Expenditure,2021-03-11T00:00:00.000,2016,P.O. BOX 552,OLYMPIA,WA,98507,,131.97,17993.36,441.75,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-10810'},"{'type': 'Point', 'coordinates': [-122.89604, 47.04087]}",,  ,CITY OF OLYMPIA PROPOSITION,1,LOCAL,441.75,Against,,,,,,,,,,,,,,,,,,,,,,,,
18600.expn,10810,C6.2 - Itemized Expenditures,34581,939,FREEDOM FOUNDATION ,"A business, union, group, association, organization, or other person using only general treasury funds.",Independent Expenditure,2021-03-11T00:00:00.000,2016,P.O. BOX 552,OLYMPIA,WA,98507,INFO@FREEDOMFOUNDATION.COM,131.97,17993.36,441.75,105.76,STAFF TIME FOR AMICUS BRIEF,2016-08-01T00:00:00.000,2016-08-10T00:00:00.000,FREEDOM FOUNDATION,P.O. BOX 552,OLYMPIA,WA,98507,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-10810'},"{'type': 'Point', 'coordinates': [-122.89604, 47.04087]}","{'type': 'Point', 'coordinates': [-122.89604, 47.04087]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17069.expn,10183,C6.2 - Itemized Expenditures,34628,1116,TACOMA-PIERCE COUNTY CHAMBER ,An individual using only personal funds,Independent Expenditure,2020-08-04T00:00:00.000,2016,1201 PACIFIC AVE.,TACOMA,WA,98402,tomp@tacomachamber.org,0.00,16498.00,16498.00,172.00,LEGAL SERVICES,2016-06-24T00:00:00.000,2016-06-24T00:00:00.000,GORDON THOMAS HONEYWELL,1201 PACIFIC AVE.,TACOMA,WA,98402,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-10183'},"{'type': 'Point', 'coordinates': [-122.43754, 47.25209]}","{'type': 'Point', 'coordinates': [-122.43754, 47.25209]}",,,,,,,2535769889,,,,,,,,,,,,,,,,,,,,,,,
17066.expn,10183,C6.2 - Itemized Expenditures,34628,1116,TACOMA-PIERCE COUNTY CHAMBER ,An individual using only personal funds,Independent Expenditure,2020-08-04T00:00:00.000,2016,1201 PACIFIC AVE.,TACOMA,WA,98402,tomp@tacomachamber.org,0.00,16498.00,16498.00,1972.00,LEGAL SERVICES,2016-06-20T00:00:00.000,2016-06-20T00:00:00.000,GORDON THOMAS HONEYWELL,1201 PACIFIC AVE.,TACOMA,WA,98402,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-10183'},"{'type': 'Point', 'coordinates': [-122.43754, 47.25209]}","{'type': 'Point', 'coordinates': [-122.43754, 47.25209]}",,,,,,,2535769889,,,,,,,,,,,,,,,,,,,,,,,
17067.expn,10183,C6.2 - Itemized Expenditures,34628,1116,TACOMA-PIERCE COUNTY CHAMBER ,An individual using only personal funds,Independent Expenditure,2020-08-04T00:00:00.000,2016,1201 PACIFIC AVE.,TACOMA,WA,98402,tomp@tacomachamber.org,0.00,16498.00,16498.00,615.00,LEGAL SERVICES,2016-06-21T00:00:00.000,2016-06-21T00:00:00.000,GORDON THOMAS HONEYWELL,1201 PACIFIC AVE.,TACOMA,WA,98402,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-10183'},"{'type': 'Point', 'coordinates': [-122.43754, 47.25209]}","{'type': 'Point', 'coordinates': [-122.43754, 47.25209]}",,,,,,,2535769889,,,,,,,,,,,,,,,,,,,,,,,
17068.expn,10183,C6.2 - Itemized Expenditures,34628,1116,TACOMA-PIERCE COUNTY CHAMBER ,An individual using only personal funds,Independent Expenditure,2020-08-04T00:00:00.000,2016,1201 PACIFIC AVE.,TACOMA,WA,98402,tomp@tacomachamber.org,0.00,16498.00,16498.00,270.00,LEGAL SERVICES,2016-06-23T00:00:00.000,2016-06-23T00:00:00.000,GORDON THOMAS HONEYWELL,1201 PACIFIC AVE.,TACOMA,WA,98402,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-10183'},"{'type': 'Point', 'coordinates': [-122.43754, 47.25209]}","{'type': 'Point', 'coordinates': [-122.43754, 47.25209]}",,,,,,,2535769889,,,,,,,,,,,,,,,,,,,,,,,
17070.expn,10183,C6.2 - Itemized Expenditures,34628,1116,TACOMA-PIERCE COUNTY CHAMBER ,An individual using only personal funds,Independent Expenditure,2020-08-04T00:00:00.000,2016,1201 PACIFIC AVE.,TACOMA,WA,98402,tomp@tacomachamber.org,0.00,16498.00,16498.00,150.00,LEGAL SERVICES,2016-06-28T00:00:00.000,2016-06-28T00:00:00.000,GORDON THOMAS HONEYWELL,1201 PACIFIC AVE.,TACOMA,WA,98402,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-10183'},"{'type': 'Point', 'coordinates': [-122.43754, 47.25209]}","{'type': 'Point', 'coordinates': [-122.43754, 47.25209]}",,,,,,,2535769889,,,,,,,,,,,,,,,,,,,,,,,
