id,report_number,origin,sponsor_entity_id,sponsor_id,sponsor_name,sponsor_description,report_type,report_date,election_year,sponsor_address,sponsor_city,sponsor_state,sponsor_zip,sponsor_email,total_unitemized,total_cycle,total_this_report,expenditure_amount,expenditure_description,date_expense_obligated,date_advertising_presented,vendor_name,vendor_address,vendor_city,vendor_state,vendor_zipcode,url,candidate_entity_id,candidate_candidacy_id,candidate_committee_id,candidate_filer_id,candidate_name,candidate_last_name,candidate_office,candidate_jurisdiction,portion_of_amount,for_or_against,filer_id,funders_name,date_received,amount,funders_address,funders_city,funders_state,funders_zipcode,candidate_first_name,candidate_party,vendor_location,ballot_name,ballot_number,ballot_type,sponsor_location,sponsor_phone,funders_location,funders_first_name,funders_occupation,funders_employer,funders_employer_city,funders_employer_state
23301.expn,13013,C6.2 - Itemized Expenditures,33060,1162,CITIZENS FOR LIBERTY AND LABOR PAC ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure Ad,2024-11-01T00:00:00.000,2023,PO BOX 18845,SPOKANE,WA,99228,CITIZENSFORLIBERTYANDLABOR@GMAIL.COM,0.00,345360.46,12500.00,2000.00,PARTIAL PMT - VIDEO IN 2023,2023-10-01T00:00:00.000,2024-05-05T00:00:00.000,FUSE VOTES,PO BOX 4897,SEATTLE,WA,98194,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-13013'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23300.expn,13013,C6.2 - Itemized Expenditures,33060,1162,CITIZENS FOR LIBERTY AND LABOR PAC ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure Ad,2024-11-01T00:00:00.000,2023,PO BOX 18845,SPOKANE,WA,99228,CITIZENSFORLIBERTYANDLABOR@GMAIL.COM,0.00,345360.46,12500.00,4000.00,PARTIAL PMT - VIDEO IN 2023,2023-10-01T00:00:00.000,2024-04-20T00:00:00.000,NWP CONSULTING,PO BOX 15734,SEATTLE,WA,98115,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-13013'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32669.entity,13013,C6.3 - Identified Entities,33060,1162,CITIZENS FOR LIBERTY AND LABOR PAC ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure Ad,2024-11-01T00:00:00.000,2023,PO BOX 18845,SPOKANE,WA,99228,,0.00,345360.46,12500.00,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-13013'},26342,689296,31932,WILKB  202, Betsy Wilkerson ,Betsy Wilkerson,City Council President,City Of Spokane,3125.00,For,WILKB  202,,,,,,,,,,,,,,,,,,,,,
32668.entity,13013,C6.3 - Identified Entities,33060,1162,CITIZENS FOR LIBERTY AND LABOR PAC ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure Ad,2024-11-01T00:00:00.000,2023,PO BOX 18845,SPOKANE,WA,99228,,0.00,345360.46,12500.00,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-13013'},32519,689227,31860,PLESK--275, Kim Plese ,Kim Plese,City Council President,City Of Spokane,3125.00,Against,PLESK--275,,,,,,,,,,,,,,,,,,,,,
32667.entity,13013,C6.3 - Identified Entities,33060,1162,CITIZENS FOR LIBERTY AND LABOR PAC ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure Ad,2024-11-01T00:00:00.000,2023,PO BOX 18845,SPOKANE,WA,99228,,0.00,345360.46,12500.00,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-13013'},1240,688923,31305,WOODN  203, NADINE WOODWARD ,NADINE WOODWARD,Mayor,City Of Spokane,3125.00,Against,WOODN  203,,,,,,,,,,,,,,,,,,,,,
32666.entity,13013,C6.3 - Identified Entities,33060,1162,CITIZENS FOR LIBERTY AND LABOR PAC ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure Ad,2024-11-01T00:00:00.000,2023,PO BOX 18845,SPOKANE,WA,99228,,0.00,345360.46,12500.00,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-13013'},8007,689261,31900,BROWL  204, Lisa Brown ,Lisa Brown,Mayor,City Of Spokane,3125.00,For,BROWL  204,,,,,,,,,,,,,,,,,,,,,
23303.expn,13013,C6.2 - Itemized Expenditures,33060,1162,CITIZENS FOR LIBERTY AND LABOR PAC ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure Ad,2024-11-01T00:00:00.000,2023,PO BOX 18845,SPOKANE,WA,99228,CITIZENSFORLIBERTYANDLABOR@GMAIL.COM,0.00,345360.46,12500.00,4500.00,FORGIVE BALANCE 2023 VIDEO,2023-10-01T00:00:00.000,2024-06-26T00:00:00.000,TREATMENT LLC,"304 W PACIFIC AVE, STE 210",SPOKANE,WA,99201,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-13013'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23302.expn,13013,C6.2 - Itemized Expenditures,33060,1162,CITIZENS FOR LIBERTY AND LABOR PAC ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure Ad,2024-11-01T00:00:00.000,2023,PO BOX 18845,SPOKANE,WA,99228,CITIZENSFORLIBERTYANDLABOR@GMAIL.COM,0.00,345360.46,12500.00,2000.00,PARTIAL PMT - VIDEO IN 2023,2023-10-01T00:00:00.000,2024-06-26T00:00:00.000,FUSE VOTES,PO BOX 4897,SEATTLE,WA,98194,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-13013'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4819.source,12756,C6.5 - Funding Sources,34313,2145,THE WASHINGTON BUS POLITICAL ACTION COMMITTEE ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2024-10-17T00:00:00.000,2023,"1801 12TH AVENUE, SUITE A",SEATTLE,WA,98122,,,,,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-12756'},,,,,,,,,,,,SEIU 775 QUALITY CARE COMMITT,2023-10-15T00:00:00.000,5000.00,215 COLUMBIA ST #300,SEATTLE,WA,98104,,,,,,,,,,,,,,
22769.expn,12756,C6.2 - Itemized Expenditures,34313,2145,THE WASHINGTON BUS POLITICAL ACTION COMMITTEE ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2024-10-17T00:00:00.000,2023,"1801 12TH AVENUE, SUITE A",SEATTLE,WA,98122,accounting@washingtonbus.org,64.90,4271.01,4271.01,1276.00,LIST SHARING,2023-10-12T00:00:00.000,2023-10-12T00:00:00.000,THE WASHINGTON BUS,1801 12TH AVE,SEATTLE,WA,98122,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-12756'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
